label,file,pages,chars,hangul_ratio,images,quality,first_page_chars,num_density,formal_score,formal_score_1p,매출_추정,영업이익_추정,순이익_추정,분기_추정,추정연도_표기,목표주가_명시,투자의견_명시,업종대비_관점,추정치_조정명시,밸류에이션_배수,리스크_명시,가정_민감도,매출_추정__1p,영업이익_추정__1p,순이익_추정__1p,분기_추정__1p,추정연도_표기__1p,목표주가_명시__1p,투자의견_명시__1p,업종대비_관점__1p,추정치_조정명시__1p,밸류에이션_배수__1p,리스크_명시__1p,가정_민감도__1p
hi,"CJ_001040_대신증권_양지환,이지니_2024-07-09_632693",6,14313,0.182,3,정상,2618,98.72,10,10,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
hi,DB손해보험_005830_메리츠증권_조아해_2025-05-15_641108,7,11808,0.198,8,정상,2290,85.87,7,6,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
hi,DGB금융지주_139130_LS증권_전배승_2025-02-10_638742,4,7954,0.265,7,정상,2279,99.57,9,8,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
hi,DGB금융지주_139130_SK증권_설용진_2025-02-10_638751,6,9824,0.204,23,정상,2145,104.03,9,8,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
hi,GS건설_006360_메리츠증권_문경원_2025-04-04_640059,5,12093,0.192,2,정상,2217,91.62,10,10,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
hi,GS건설_006360_한화투자증권_송유림_2025-04-04_640068,6,12022,0.219,1,정상,2140,99.15,10,10,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
hi,GS리테일_007070_LS증권_오린아_2025-05-12_640947,5,10715,0.224,7,정상,2399,98.46,10,8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
hi,GS리테일_007070_대신증권_유정현_2025-05-12_640986,5,11657,0.213,26,정상,2568,102.86,9,9,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
hi,HD현대일렉트릭_267260_LS증권_성종화_2025-01-21_638297,14,27573,0.209,157,정상,2758,95.96,11,8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
hi,HD현대일렉트릭_267260_LS증권_성종화_2025-03-31_639886,5,12067,0.234,7,정상,2650,88.59,10,8,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
hi,HD현대일렉트릭_267260_SK증권_나민식_2025-01-21_638307,6,10811,0.212,15,정상,2041,114.42,8,8,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
hi,HD현대일렉트릭_267260_SK증권_나민식_2025-01-21_638308,6,10811,0.212,15,정상,2041,114.42,8,8,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
