idx,date,code,company,title,target,opinion,analyst,broker,price_at,price_h,ret_6m,mkt_ret_6m,excess_6m,target_acc,target_hit,upside_at_pub,acc180,acc180,acc365
646297,2026-01-30,373220,LG에너지솔루션,바닥은 확인 LG에너지솔루션(373220) 바닥은 확인 바닥은 확인,500000,Buy,"이용욱,고예진",한화투자증권,398000.0,300500.0,-0.245,0.084,-0.329,0.601,0,0.2563,0.601,0.601,
646296,2026-01-30,051910,LG화학,"본업은 흐림, 자산 가치는 맑음 LG화학(051910) 본업은 흐림, 자산 가치는 맑음 본업은 흐림, 자산 가치는 맑음",420000,Buy,"이용욱,고예진",한화투자증권,310500.0,232500.0,-0.2512,0.084,-0.3352,0.5536,0,0.3527,0.5536,0.5536,
646295,2026-01-30,003230,삼양식품,"Shortage, Shortage, Shortage 삼양식품(003230) Shortage, Shortage, Shortage Shortage, Shortage, Shortage",1900000,Buy,"한유경,고예진",한화투자증권,1180000.0,1220000.0,0.0339,0.084,-0.0501,0.6421,0,0.6102,0.6421,0.6421,
646294,2026-01-30,003670,포스코퓨처엠,"상반기 회복은 제한적, 하반기 반등을 기약 포스코퓨처엠(003670) 상반기 회복은 제한적, 하반기 반등을 기약 상반기 회복은 제한적, 하반기 반등을 기약",220000,Hold,"이용욱,고예진",한화투자증권,223500.0,122100.0,-0.4537,0.084,-0.5377,0.555,0,-0.0157,0.555,0.555,
646293,2026-01-30,086280,현대글로비스,해운 중심 본업 성장과 BD 지분가치의 부각 효과 현대글로비스(086280) 해운 중심 본업 성장과 BD 지분가치의 부각 효과 해운 중심 본업 성장과 BD 지분가치의 부각 효과,370000,Buy,"김성래,김예인",한화투자증권,242000.0,188300.0,-0.2219,0.084,-0.3059,0.5089,0,0.5289,0.5089,0.5089,
646292,2026-01-30,005380,현대차,Robotics Shock >> Earning Shock 현대차(005380) Robotics Shock >> Earning Shock Robotics Shock >> Earning Shock,650000,Buy,"김성래,김예인",한화투자증권,500000.0,353500.0,-0.293,0.084,-0.377,0.5438,0,0.3,0.5438,0.5438,
646290,2026-01-30,005490,POSCO홀딩스,비워내야 채울 수 있다 POSCO홀딩스(005490) 비워내야 채울 수 있다 비워내야 채울 수 있다,490000,Buy,권지우,한화투자증권,347500.0,288500.0,-0.1698,0.084,-0.2538,0.5888,0,0.4101,0.5888,0.5888,
646288,2026-01-30,003230,삼양식품,2026년 성장을 향한 과도기 삼양식품(003230) 2026년 성장을 향한 과도기 2026년 성장을 향한 과도기,2000000,Buy,"손현정,김고은",유안타증권,1180000.0,1220000.0,0.0339,0.084,-0.0501,0.61,0,0.6949,0.61,0.61,
646287,2026-01-30,353200,대덕전자,"4Q25 Review: New Era, 새 시대를 맞이하며 대덕전자(353200) 4Q25 Review: New Era, 새 시대를 맞이하며 4Q25 Review: New Era, 새 시대를 맞이하며",76000,Buy,고선영,유안타증권,63300.0,80900.0,0.278,0.084,0.194,0.9355,1,0.2006,0.9355,0.9355,
646286,2026-01-30,373220,LG에너지솔루션,2026년 BESS 성장성에 주목 LG에너지솔루션(373220) 2026년 BESS 성장성에 주목 2026년 BESS 성장성에 주목,531000,Buy,이안나,유안타증권,398000.0,300500.0,-0.245,0.084,-0.329,0.5659,0,0.3342,0.5659,0.5659,
646285,2026-01-30,086280,현대글로비스,견조한 본업 성장 현대글로비스(086280) 견조한 본업 성장 견조한 본업 성장,320000,Buy,최지운,유안타증권,242000.0,188300.0,-0.2219,0.084,-0.3059,0.5884,0,0.3223,0.5884,0.5884,
646284,2026-01-30,086280,현대글로비스,견조한 본업 성장 현대글로비스(086280) 견조한 본업 성장 견조한 본업 성장,320000,Buy,최지,유안타증권,242000.0,188300.0,-0.2219,0.084,-0.3059,0.5884,0,0.3223,0.5884,0.5884,
646283,2026-01-30,005930,삼성전자,1Q26 예상 영업이익 증가율 43.3% 삼성전자(005930) 1Q26 예상 영업이익 증가율 43.3% 1Q26 예상 영업이익 증가율 43.3%,204000,Buy,"백길현,임석민",유안타증권,160500.0,208500.0,0.2991,0.084,0.2151,0.9779,1,0.271,0.9779,0.9779,
646281,2026-01-30,353200,대덕전자,우려는 숫자로 해소된다 대덕전자(353200) 우려는 숫자로 해소된다 우려는 숫자로 해소된다,71000,Buy,양승수,메리츠증권,63300.0,80900.0,0.278,0.084,0.194,0.8606,1,0.1216,0.8606,0.8606,
646276,2026-01-30,038290,마크로젠,"저평가 구간, 마크로젠의 반격 마크로젠(038290) 저평가 구간, 마크로젠의 반격 저평가 구간, 마크로젠의 반격",25000,Buy,한송협,대신증권,19520.0,10850.0,-0.4442,0.084,-0.5282,0.434,0,0.2807,0.434,0.434,
646275,2026-01-30,005930,삼성전자,"나야, 삼성전자 삼성전자(005930) 나야, 삼성전자 나야, 삼성전자",240000,Buy,"류형근,서지원",대신증권,160500.0,208500.0,0.2991,0.084,0.2151,0.8688,0,0.4953,0.8688,0.8688,
646274,2026-01-30,000660,SK하이닉스,하.의.치 (하이닉스-의대-치대) SK하이닉스(000660) 하.의.치 (하이닉스-의대-치대) 하.의.치 (하이닉스-의대-치대),1250000,Buy,"류형근,서지원",대신증권,909000.0,1401000.0,0.5413,0.084,0.4572,0.8792,1,0.3751,0.8792,0.8792,
646266,2026-01-30,005380,현대차,돈도 잘 버는 로봇회사 현대차(005380) 돈도 잘 버는 로봇회사 돈도 잘 버는 로봇회사,630000,매수,윤혁진,SK증권,500000.0,353500.0,-0.293,0.084,-0.377,0.5611,0,0.26,0.5611,0.5611,
646262,2026-01-30,003670,포스코퓨처엠,바닥을 지나는 시기? 포스코퓨처엠(003670) 바닥을 지나는 시기? 바닥을 지나는 시기?,236000,Trading Buy,이현욱,IBK투자증권,223500.0,122100.0,-0.4537,0.084,-0.5377,0.5174,0,0.0559,0.5174,0.5174,
646261,2026-01-30,373220,LG에너지솔루션,이제 진짜 바닥이 보인다 LG에너지솔루션(373220) 이제 진짜 바닥이 보인다 이제 진짜 바닥이 보인다,560000,매수,이현욱,IBK투자증권,398000.0,300500.0,-0.245,0.084,-0.329,0.5366,0,0.407,0.5366,0.5366,
646260,2026-01-30,108380,대양전기공업,코스닥 선진화의 아이콘이 될 기업 대양전기공업(108380) 코스닥 선진화의 아이콘이 될 기업 코스닥 선진화의 아이콘이 될 기업,46000,매수,이건재,IBK투자증권,29300.0,14610.0,-0.5014,0.084,-0.5854,0.3176,0,0.57,0.3176,0.3176,
646259,2026-01-30,035250,강원랜드,중장기 성장동력 강화 시작 강원랜드(035250) 중장기 성장동력 강화 시작 중장기 성장동력 강화 시작,23000,매수,김유혁,IBK투자증권,17440.0,14450.0,-0.1714,0.084,-0.2555,0.6283,0,0.3188,0.6283,0.6283,
646254,2026-01-30,000660,SK하이닉스,역대급 분기 가격 상승 예상 SK하이닉스(000660) 역대급 분기 가격 상승 예상 역대급 분기 가격 상승 예상,1160000,Buy,송명섭,iM증권,909000.0,1401000.0,0.5413,0.084,0.4572,0.7922,1,0.2761,0.7922,0.7922,
646253,2026-01-30,005930,삼성전자,완전한 경쟁력 회복과 실적 대폭 개선 삼성전자(005930) 완전한 경쟁력 회복과 실적 대폭 개선 완전한 경쟁력 회복과 실적 대폭 개선,200000,Buy,송명섭,iM증권,160500.0,208500.0,0.2991,0.084,0.2151,0.9575,1,0.2461,0.9575,0.9575,
646252,2026-01-30,373220,LG에너지솔루션,중장기관점에서 핵심은 북미 ESS LG에너지솔루션(373220) 중장기관점에서 핵심은 북미 ESS 중장기관점에서 핵심은 북미 ESS,560000,Buy,정원석,iM증권,398000.0,300500.0,-0.245,0.084,-0.329,0.5366,0,0.407,0.5366,0.5366,
646251,2026-01-30,353200,대덕전자,예상보다 더 빠른 데이터센터향 응용처 확대 대덕전자(353200) 예상보다 더 빠른 데이터센터향 응용처 확대 예상보다 더 빠른 데이터센터향 응용처 확대,76000,Buy,고의영,iM증권,63300.0,80900.0,0.278,0.084,0.194,0.9355,1,0.2006,0.9355,0.9355,
