pair_id,label,company,code,date,target,opinion,analyst,broker,acc365,gap_days,acc_diff,idx,title
1,hi,유한양행,000100,2024-02-07,110000,Buy,권해순,유진투자증권,0.7509,0,0.714,627865,2023P 실적 Review: 포트폴리오 관리가 필요하다 유한양행(000100) 2023P 실적 Review: 포트폴리오 관리가 필요하다 202
1,lo,유한양행,000100,2024-02-07,70000,Buy,하현수,유안타증권,0.0371,0,0.714,627852,렉라자 1차 급여 시작 유한양행(000100) 렉라자 1차 급여 시작 4Q23Re: 주요 사업 부진으로 컨센서스 하회
2,hi,LG화학,051910,2025-04-09,320000,Buy,전유진,iM증권,0.8906,6,0.706,640179,"기대가너무낮았던탓인가, 예상치큰폭상회할1분기 LG화학(051910) 기대가너무낮았던탓인가, 예상치큰폭상회할1분기 기대가너무낮았던탓인가, 예상치큰"
2,lo,LG화학,051910,2025-04-15,195000,Hold,정경희,LS증권,0.1846,6,0.706,640366,1분기 LG에너지솔루션으로 선방 LG화학(051910) 1분기 LG에너지솔루션으로 선방 1분기 LG에너지솔루션으로 선방
3,hi,삼성중공업,010140,2025-01-08,22000,Buy,배기연,메리츠증권,0.8023,7,0.687,637882,4Q Preview: 컨센서스에 부합할 양호한 실적 삼성중공업(010140) 4Q Preview: 컨센서스에 부합할 양호한 실적 컨센서스 부합할
3,lo,삼성중공업,010140,2025-01-15,16000,매수,한승한,SK증권,0.1156,7,0.687,638125,FLNG가 부각될 차례 삼성중공업(010140) FLNG가 부각될 차례 FLNG가 부각될 차례
4,hi,LG화학,051910,2025-05-02,300000,Buy,이용욱,한화투자증권,0.6767,0,0.677,640832,관세로 인해 실적 회복 불확실성 확대 LG화학(051910) 관세로 인해 실적 회복 불확실성 확대 1분기: LGES/첨단소재 호실적 기록 2분기
4,lo,LG화학,051910,2025-05-02,186000,Hold,정경희,LS증권,0.0,0,0.677,640824,1분기 실적과 자산매각 뉴스 LG화학(051910) 1분기 실적과 자산매각 뉴스 1분기 실적과 자산매각 뉴스
5,hi,LS,006260,2025-01-13,210000,Buy,장재혁,메리츠증권,0.9952,7,0.661,638033,모멘텀의 부활 LS(006260) 모멘텀의 부활 모멘텀의 부활
5,lo,LS,006260,2025-01-06,130000,Buy,이상헌,iM증권,0.3346,7,0.661,637771,주식소각 기대 및 이사 주주 충실의무 수혜 LS(006260) 주식소각 기대 및 이사 주주 충실의무 수혜 주식소각 기대 및 이사 주주 충실의무 
6,hi,한화,000880,2024-05-23,37000,Buy,엄수진,한화투자증권,0.6324,4,0.626,631462,순항 중인 글로벌 부문과 주주환원에 적극적인 상장 자회사 한화(000880) 순항 중인 글로벌 부문과 주주환원에 적극적인 상장 자회사 배당 수익
6,lo,한화,000880,2024-05-27,31000,Buy,이승웅,유안타증권,0.0065,4,0.626,631540,사업구조 개편 마무리 중 한화(000880) 사업구조 개편 마무리 중 사업구조 개편 마무리 중
7,hi,HMM,011200,2025-05-15,19000,Hold,이재혁,LS증권,0.9532,4,0.605,641119,1Q25 Review: 폭풍전야 HMM(011200) 1Q25 Review: 폭풍전야 1Q25 Review: 폭풍전야
7,lo,HMM,011200,2025-05-19,12000,Hold,배세호,iM증권,0.3483,4,0.605,641176,공적 자금 투자의 모범 사례 HMM(011200) 공적 자금 투자의 모범 사례 공적 자금 투자의 모범 사례
8,hi,SK하이닉스,000660,2024-10-04,300000,매수,"한동희,박제민",SK증권,0.6817,4,0.602,635220,하반기 증익 사이클 지속 SK하이닉스(000660) 하반기 증익 사이클 지속 하반기 증익 사이클 지속
8,lo,SK하이닉스,000660,2024-09-30,181000,Hold,송명섭,iM증권,0.0801,4,0.602,635117,Market-Weight 전략 권고 SK하이닉스(000660) Market-Weight 전략 권고 Market-Weight 전략 권고
9,hi,삼성SDI,006400,2025-04-02,300000,Buy,정원석,iM증권,0.5233,1,0.523,639975,유럽 EV 수요 반등에도 1Q25 실적 부진 예상 삼성SDI(006400) 유럽 EV 수요 반등에도 1Q25 실적 부진 예상 유럽 EV 수요 반
9,lo,삼성SDI,006400,2025-04-03,160000,Hold,정경희,LS증권,0.0,1,0.523,640002,"1분기 Preview, 좋지 않다 삼성SDI(006400) 1분기 Preview, 좋지 않다 1분기 Preview, 좋지 않다"
10,hi,현대차,005380,2025-01-24,380000,Buy,이현수,유안타증권,0.6579,0,0.479,638497,숫자로는 충분히 증명했던 '24년 현대차(005380) 숫자로는 충분히 증명했던 '24년 숫자로는 충분히 증명했던 '24년
