idx,date,code,company,title,target,opinion,analyst,broker
646297,2026-01-30,373220,LG에너지솔루션,바닥은 확인 LG에너지솔루션(373220) 바닥은 확인 바닥은 확인,500000,Buy,"이용욱,고예진",한화투자증권
646296,2026-01-30,051910,LG화학,"본업은 흐림, 자산 가치는 맑음 LG화학(051910) 본업은 흐림, 자산 가치는 맑음 본업은 흐림, 자산 가치는 맑음",420000,Buy,"이용욱,고예진",한화투자증권
646295,2026-01-30,003230,삼양식품,"Shortage, Shortage, Shortage 삼양식품(003230) Shortage, Shortage, Shortage Shortage, Shortage, Shortage",1900000,Buy,"한유경,고예진",한화투자증권
646294,2026-01-30,003670,포스코퓨처엠,"상반기 회복은 제한적, 하반기 반등을 기약 포스코퓨처엠(003670) 상반기 회복은 제한적, 하반기 반등을 기약 상반기 회복은 제한적, 하반기 반등을 기약",220000,Hold,"이용욱,고예진",한화투자증권
646293,2026-01-30,086280,현대글로비스,해운 중심 본업 성장과 BD 지분가치의 부각 효과 현대글로비스(086280) 해운 중심 본업 성장과 BD 지분가치의 부각 효과 해운 중심 본업 성장과 BD 지분가치의 부각 효과,370000,Buy,"김성래,김예인",한화투자증권
646292,2026-01-30,005380,현대차,Robotics Shock >> Earning Shock 현대차(005380) Robotics Shock >> Earning Shock Robotics Shock >> Earning Shock,650000,Buy,"김성래,김예인",한화투자증권
646290,2026-01-30,005490,POSCO홀딩스,비워내야 채울 수 있다 POSCO홀딩스(005490) 비워내야 채울 수 있다 비워내야 채울 수 있다,490000,Buy,권지우,한화투자증권
646288,2026-01-30,003230,삼양식품,2026년 성장을 향한 과도기 삼양식품(003230) 2026년 성장을 향한 과도기 2026년 성장을 향한 과도기,2000000,Buy,"손현정,김고은",유안타증권
646287,2026-01-30,353200,대덕전자,"4Q25 Review: New Era, 새 시대를 맞이하며 대덕전자(353200) 4Q25 Review: New Era, 새 시대를 맞이하며 4Q25 Review: New Era, 새 시대를 맞이하며",76000,Buy,고선영,유안타증권
646286,2026-01-30,373220,LG에너지솔루션,2026년 BESS 성장성에 주목 LG에너지솔루션(373220) 2026년 BESS 성장성에 주목 2026년 BESS 성장성에 주목,531000,Buy,이안나,유안타증권
646285,2026-01-30,086280,현대글로비스,견조한 본업 성장 현대글로비스(086280) 견조한 본업 성장 견조한 본업 성장,320000,Buy,최지운,유안타증권
646284,2026-01-30,086280,현대글로비스,견조한 본업 성장 현대글로비스(086280) 견조한 본업 성장 견조한 본업 성장,320000,Buy,최지,유안타증권
646283,2026-01-30,005930,삼성전자,1Q26 예상 영업이익 증가율 43.3% 삼성전자(005930) 1Q26 예상 영업이익 증가율 43.3% 1Q26 예상 영업이익 증가율 43.3%,204000,Buy,"백길현,임석민",유안타증권
646281,2026-01-30,353200,대덕전자,우려는 숫자로 해소된다 대덕전자(353200) 우려는 숫자로 해소된다 우려는 숫자로 해소된다,71000,Buy,양승수,메리츠증권
646279,2026-01-30,051910,LG화학,4Q25P Review: 돌파구 필요 LG화학(051910) 4Q25P Review: 돌파구 필요 4Q25P Review: 돌파구 필요,0,투자의견없음,"노우호,황현식",메리츠증권
646278,2026-01-30,003670,포스코퓨처엠,4Q25P Review: 충분한 조정 이후 대응 필요 포스코퓨처엠(003670) 4Q25P Review: 충분한 조정 이후 대응 필요 4Q25P Review: 충분한 조정 이후 대응 필요,0,투자의견없음,"노우호,황현식",메리츠증권
