label,analyst,broker,sector,award,both_awards,date,company,code,opinion,subtitle,target,price_then,pid
award_winner,김선우,메리츠증권,반도체,한경,,2026-07-31,삼성전자,005930,매수,"분명한 저평가 구간, 자사주 매입 ‘임박’",500000,262500,837658
award_winner,김선우,메리츠증권,반도체,한경,,2026-07-30,SK하이닉스,000660,매수,"설익은 타이밍, 섣부른 실망",3100000,1718000,837406
award_winner,김선우,메리츠증권,반도체,한경,,2026-07-27,SK하이닉스,000660,매수,2Q26 Preview : 사상 최초 세전이익 + 100조원 도전,3100000,1718000,837050
award_winner,김선우,메리츠증권,반도체,한경,,2026-07-27,삼성전자,005930,매수,"메모리 판가 주도력 확대. 브로드컴 2,000억달러는 시작일 뿐",500000,262500,837049
award_winner,김선우,메리츠증권,반도체,한경,,2026-07-23,LG디스플레이,034220,,"2Q26 실적 Review, 설명회 Q&A 정리",0,9210,836616
award_winner,김선우,메리츠증권,반도체,한경,,2026-07-07,삼성전자,005930,,2Q26P : 기대 이상 호실적,0,262500,835380
award_winner,김선우,메리츠증권,반도체,한경,,2026-07-06,삼성전자,005930,매수,"반도체 충당 전 110조원, 압도적 수익성 재확인",500000,262500,825236
award_winner,김선우,메리츠증권,반도체,한경,,2026-06-10,SK하이닉스,000660,매수,"끝 없는 재평가 (feat. ADR, 주주환원)",2950000,1718000,824037
award_winner,김선우,메리츠증권,반도체,한경,,2026-06-10,삼성전자,005930,매수,어닝파워 입증 및 주주환원을 통한 재평가 예상,420000,262500,824036
award_winner,김선우,메리츠증권,반도체,한경,,2026-05-06,SK하이닉스,000660,,"ADR에 앞서, GDR 관심도 급상승",0,1718000,820854
award_winner,김선우,메리츠증권,반도체,한경,,2026-05-04,삼성전자,005930,매수,실적과 주주환원이 이끄는 재평가,290000,262500,820626
award_winner,김선우,메리츠증권,반도체,한경,,2026-04-24,LG디스플레이,034220,,"1Q26 실적 Review, 설명회 Q&A 정리",0,9210,819606
award_winner,김선우,메리츠증권,반도체,한경,,2026-04-24,SK하이닉스,000660,매수,계단식 리레이팅 구간 진입,2000000,1718000,819498
award_winner,김선우,메리츠증권,반도체,한경,,2026-04-20,SK하이닉스,000660,매수,결국 증분의 함수. 2Q 모멘텀 폭발,1700000,1718000,819071
award_winner,김선우,메리츠증권,반도체,한경,,2026-04-07,삼성전자,005930,,1Q26P : 이제 겨우 시작,0,262500,818022
award_winner,김선우,메리츠증권,반도체,한경,,2026-04-03,삼성전자,005930,매수,강력한 아웃퍼폼 예상,250000,262500,817783
award_winner,김선우,메리츠증권,반도체,한경,,2026-03-25,SK하이닉스,000660,,ADR은 목적이 아닌 수단. 결국은 주주환원,0,1718000,817320
award_winner,김선우,메리츠증권,반도체,한경,,2026-01-30,SK하이닉스,000660,매수,진성수요만으로도 이정도 업사이클,1450000,1718000,813652
award_winner,김선우,메리츠증권,반도체,한경,,2026-01-30,삼성전자,005930,매수,오랜 기억 속 ROE 20%대 회귀,210000,262500,813651
award_winner,김선우,메리츠증권,반도체,한경,,2026-01-29,LG디스플레이,034220,,"4Q25 실적 Review, 설명회 Q&A 정리",0,9210,813478
award_winner,김선우,메리츠증권,반도체,한경,,2026-01-29,SK하이닉스,000660,,4Q25 실적발표 자료 Quick Take,0,1718000,813476
award_winner,김선우,메리츠증권,반도체,한경,,2026-01-08,삼성전자,005930,,4Q25P : 메모리 영업 레버리지 예열 중,0,262500,811746
award_winner,김선우,메리츠증권,반도체,한경,,2025-11-14,LG디스플레이,034220,매수,꾸준히 강화되는 제품 경쟁력,16500,9210,808848
award_winner,김선우,메리츠증권,반도체,한경,,2025-11-14,삼성전자,005930,매수,수익성 확보에 몰두하는 최대 생산자,125000,262500,808847
award_winner,김선우,메리츠증권,반도체,한경,,2025-11-14,SK하이닉스,000660,매수,재평가의 여정,910000,1718000,808846
award_winner,김선우,메리츠증권,반도체,한경,,2025-11-11,SK하이닉스,000660,매수,재평가 여정: Good to Great (1/2),910000,1718000,808272
award_winner,김선우,메리츠증권,반도체,한경,,2025-11-11,SK하이닉스,000660,매수,재평가 여정: Good to Great (1/2) (요약),910000,1718000,808271
award_winner,김선우,메리츠증권,반도체,한경,,2025-10-31,삼성전자,005930,매수,막연한 공급확대보다 기술력에 집중,120000,262500,806577
award_winner,김선우,메리츠증권,반도체,한경,,2025-10-31,LG디스플레이,034220,,"3Q25 실적 Review, 설명회 Q&A 정리",0,9210,806573
award_winner,김선우,메리츠증권,반도체,한경,,2025-10-30,SK하이닉스,000660,매수,"이번 고점엔 펜타부킹, 헥사부킹이 온다",670000,1718000,806264
award_winner,김선우,메리츠증권,반도체,한경,,2025-10-14,삼성전자,005930,,3Q25P : 업사이클 훈풍 속 갤럭시 후광,0,262500,804847
award_winner,김선우,메리츠증권,반도체,한경,,2025-09-12,삼성전자,005930,매수,저평가 내 반가운 업사이클,85000,262500,803454
award_winner,김선우,메리츠증권,반도체,한경,,2025-09-12,SK하이닉스,000660,매수,리더십에 걸맞는 재평가 예상,370000,1718000,803453
award_winner,김선우,메리츠증권,반도체,한경,,2025-08-01,삼성전자,005930,매수,계절적 회복 구간 진입,84000,262500,800694
award_winner,김선우,메리츠증권,반도체,한경,,2025-07-25,SK하이닉스,000660,매수,업사이클은 26년까지 가속화,320000,1718000,799618
award_winner,김선우,메리츠증권,반도체,한경,,2025-07-25,LG디스플레이,034220,,"2Q25 실적 Review, 설명회 Q&A 정리",0,9210,799616
award_winner,김선우,메리츠증권,반도체,한경,,2025-07-21,LG디스플레이,034220,매수,모바일 계절성에 탑승,12500,9210,799323
award_winner,김선우,메리츠증권,반도체,한경,,2025-07-09,삼성전자,005930,,2Q25P : 구조적 비용과 후행적 비용의 교집합,0,262500,798388
award_winner,김선우,메리츠증권,반도체,한경,,2025-07-04,삼성전자,005930,매수,경쟁열위 속 후행적 비용 vs 절대 저평가,73000,262500,797975
award_winner,김선우,메리츠증권,반도체,한경,,2025-05-26,SK하이닉스,000660,매수,2026년 HBM 가시화 확보,270000,1718000,795822
award_winner,김선우,메리츠증권,반도체,한경,,2025-05-02,삼성전자,005930,매수,"묘연한 모멘텀, 분명한 저평가",73000,262500,793677
award_winner,김선우,메리츠증권,반도체,한경,,2025-04-25,LG디스플레이,034220,매수,하반기에 찾아올 고진감래,12500,9210,792765
award_winner,김선우,메리츠증권,반도체,한경,,2025-04-25,SK하이닉스,000660,매수,업사이클 내 차별화된 선도력,270000,1718000,792764
award_winner,김선우,메리츠증권,반도체,한경,,2025-04-25,LG디스플레이,034220,,"1Q25 실적 Review, 설명회 Q&A 정리",0,9210,792749
award_winner,김선우,메리츠증권,반도체,한경,,2025-04-08,삼성전자,005930,,1Q25P : MX 선출고 효과 vs 반도체 회복 지연,0,262500,791320
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,LG전자,066570,,2Q26 실적발표 컨퍼런스콜 정리,0,162100,837676
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,LG전자,066570,매수,이제는 변화를 인정할 때,220000,162100,837674
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,삼성전기,009150,매수,독보적으로 가팔라지는 이익의 기울기,2100000,1142000,837673
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,해성디에스,195870,매수,실적과 주가의 괴리를 기회로,70000,48200,837672
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-30,삼성전기,009150,,2Q26 실적 발표 정리,0,1142000,837551
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-28,PI첨단소재,178920,,2Q26 실적발표 컨퍼런스콜 정리,0,17820,837227
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-28,두산,000150,매수,새로운 매력 발산 시작,2400000,1170000,837131
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-28,LG이노텍,011070,매수,걱정말아요 그대,1200000,514000,837130
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-27,기가비스,420770,,기대보다 빠르게 채워지는 곳간,0,103500,836941
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-24,KH바텍,060720,매수,와이드 폴드의 주인공 + 로봇,16000,9710,836765
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-23,삼성전기,009150,매수,"새로운 수요, 새로운 이익의 기울기",3000000,1142000,836642
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-21,대덕전자,353200,매수,이제 웃어요,200000,96800,836451
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-20,샘씨엔에스,252990,Not Rated,흐름이 꺾이지 않는다,0,10980,836350
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-16,덕산하이메탈,077360,Not Rated,메모리·ABF 병목 소재로서의 재평가 기대,0,8760,836227
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-13,이수페타시스,007660,매수,어느 때보다 편안해진 주가,160000,74500,835812
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-13,네오티스,085910,Not Rated,"주가는 조정, 드릴비트 쇼티지는 심화",0,15850,835811
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-13,타이거일렉,219130,Not Rated,체급이 달라진다,0,60600,835809
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-09,아바텍,149950,매수,MLCC Super Cycle의 숨은 진주,16000,8010,835589
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-07,LG전자,066570,매수,로보틱스+데이터센터 쿨링 시스템 > 애플카,260000,162100,825334
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-02,선익시스템,171090,매수,"주가는 조정, 채워지는 곳간",83000,59300,825122
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-01,삼성전기,009150,매수,새로운 MLCC 역사의 시작,3000000,1142000,824972
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-30,LG이노텍,011070,매수,"숫자로 방어하고, 기울기로 재평가된다",1400000,514000,824885
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-29,뉴프렉스,085670,매수,"올해는 메모리 역풍, 그래도 2027년은 반등",6300,2740,824796
