award,period,sector,analyst,broker,rank,both_awards
한경,2025H2,반도체,김선우,메리츠증권,1위,
한경,2025H2,전기전자·스마트폰,양승수,메리츠증권,1위,
한경,2025H2,철강·금속,백재승,삼성증권,1위,
한경,2025H2,음식료·담배,박상준,키움증권,1위,Y
한경,2025H2,글로벌 투자전략(미국·선진국),김일혁,KB증권,1위,Y
한경,2025H2,스몰캡,파이어니어팀,NH투자증권,1위,
한경,2025H2,글로벌 투자전략(중국·신흥국),김경환,하나증권,1위,
한경,2025H2,유통,주영훈,NH투자증권,1위,
한경,2025H2,생활소비재·교육,박종대,메리츠증권,1위,
한경,2025H2,조선·중공업·방산·우주·기계,최광식,다올투자증권,1위,
한경,2025H2,거시경제·금리·자산배분,하건형,신한투자증권,1위,Y
한경,2025H2,채권,윤여삼,메리츠증권,1위,
한경,2025H2,엔터·레저·미디어,지인해,신한투자증권,1위,
한경,2025H2,2차전지,김현수,하나증권,1위,
한경,2025H2,통신,김홍식,하나증권,1위,
한경,2025H2,정유·화학,윤재성,하나증권,1위,
한경,2025H2,은행·신용카드,최정욱,하나증권,1위,
한경,2025H2,신용분석,김상만,하나증권,1위,
한경,2025H2,ETF,박승진,하나증권,1위,
한경,2025H2,투자전략,이은택,KB증권,1위,Y
한경,2025H2,데일리시황,하인환,KB증권,1위,
한경,2025H2,글로벌 기업분석,김세환,KB증권,1위,
한경,2025H2,건설·건자재,장문준,KB증권,1위,
한경,2025H2,자동차·타이어,장문수,현대차증권,1위,Y
한경,2025H2,운송,최고운,한국투자증권,1위,
한경,2025H2,원자재·디지털자산,황병진,NH투자증권,1위,
한경,2025H2,유틸리티,문경원,메리츠증권,1위,
한경,2025H2,지주회사,김수현,DS투자증권,1위,
한경,2025H1,은행·신용카드,최정욱,하나증권,1위,
한경,2025H1,2차전지,김현수,하나증권,1위,
한경,2025H1,통신,김홍식,하나증권,1위,
한경,2025H1,정유·화학,윤재성,하나증권,1위,
한경,2025H1,화장품,박은정,하나증권,1위,
한경,2025H1,철강·금속,박성봉,하나증권,1위,
한경,2025H1,건설,김상훈,하나증권,1위,
한경,2025H1,신용분석,김상만,하나증권,1위,
한경,2025H1,ETF,박승진,하나증권,1위,
한경,2025H1,반도체,김동원,KB증권,1위,
한경,2025H1,전기전자·스마트폰,김동원,KB증권,1위,
한경,2025H1,글로벌 기업분석,김동원,KB증권,1위,
한경,2025H1,글로벌 기업분석,김세환,KB증권,1위,
한경,2025H1,스몰캡,이병화,신한투자증권,1위,
한경,2025H1,방산·우주·기계,이동헌,신한투자증권,1위,
조선·FnGuide,2025,글로벌투자전략,김일혁,KB증권,1위,Y
조선·FnGuide,2025,이코노미스트,안기태,NH투자증권,1위,
조선·FnGuide,2025,자산배분,하건형,신한투자증권,1위,Y
조선·FnGuide,2025,특별상,이은택,KB증권,1위,Y
조선·FnGuide,2025,운송,강성진,KB증권,1위,
조선·FnGuide,2025,유통/소비재/음식료,박상준,키움증권,1위,Y
조선·FnGuide,2025,자동차,장문수,현대차증권,1위,Y
조선·FnGuide,2025,금융,조아해,메리츠증권,1위,
