pair_id,label,company,code,date,analysts,broker,opinion,target,price_then,gap_days,pid,report_url
1,winner,BGF리테일,282330,2026-07-03,주영훈,NH투자증권,매수유지,170000,125000,0,825174,https://www.equity.co.kr/research/researchPop.do?P_ID=825174
1,control,BGF리테일,282330,2026-07-03,이진협,한화투자증권,매수유지,190000,125000,0,825154,https://www.equity.co.kr/research/researchPop.do?P_ID=825154
2,winner,BGF리테일,282330,2026-06-19,박종대,하나증권,Not Rated,0,125000,0,824430,https://www.equity.co.kr/research/researchPop.do?P_ID=824430
2,control,BGF리테일,282330,2026-06-19,김명주,한국투자증권,매수유지,165000,125000,0,824447,https://www.equity.co.kr/research/researchPop.do?P_ID=824447
3,winner,BNK금융지주,138930,2026-07-29,김현수,상상인증권,매수유지,25000,15170,0,837339,https://www.equity.co.kr/research/researchPop.do?P_ID=837339
3,control,BNK금융지주,138930,2026-07-29,정태준,미래에셋증권,매수유지,25000,15170,0,837343,https://www.equity.co.kr/research/researchPop.do?P_ID=837343
4,winner,BNK금융지주,138930,2026-07-29,"조아해,공건희",메리츠증권,매수,24000,15170,0,837263,https://www.equity.co.kr/research/researchPop.do?P_ID=837263
4,control,BNK금융지주,138930,2026-07-29,김인,BNK투자증권,매수유지,26000,15170,0,837319,https://www.equity.co.kr/research/researchPop.do?P_ID=837319
5,winner,GS리테일,007070,2026-07-15,"박상준,권용일",키움증권,매수유지,32000,24750,0,836193,https://www.equity.co.kr/research/researchPop.do?P_ID=836193
5,control,GS리테일,007070,2026-07-15,김명주,한국투자증권,매수유지,33000,24750,0,836147,https://www.equity.co.kr/research/researchPop.do?P_ID=836147
6,winner,GS리테일,007070,2026-07-03,주영훈,NH투자증권,매수,32000,24750,0,825175,https://www.equity.co.kr/research/researchPop.do?P_ID=825175
6,control,GS리테일,007070,2026-07-03,이진협,한화투자증권,매수유지,32000,24750,0,825155,https://www.equity.co.kr/research/researchPop.do?P_ID=825155
7,winner,KB금융,105560,2026-07-24,김현수,상상인증권,매수유지,210000,168500,0,836848,https://www.equity.co.kr/research/researchPop.do?P_ID=836848
7,control,KB금융,105560,2026-07-24,유준석,흥국증권,매수유지,230000,168500,0,836844,https://www.equity.co.kr/research/researchPop.do?P_ID=836844
8,winner,KB금융,105560,2026-07-24,"조아해,공건희",메리츠증권,매수,228000,168500,0,836760,https://www.equity.co.kr/research/researchPop.do?P_ID=836760
8,control,KB금융,105560,2026-07-24,김지영,교보증권,매수유지,210000,168500,0,836830,https://www.equity.co.kr/research/researchPop.do?P_ID=836830
9,winner,LG디스플레이,034220,2026-07-23,"김선우,우서현",메리츠증권,,0,9210,0,836616,https://www.equity.co.kr/research/researchPop.do?P_ID=836616
9,control,LG디스플레이,034220,2026-07-23,"정원석,박정하",iM증권,매수유지,14000,9210,0,836648,https://www.equity.co.kr/research/researchPop.do?P_ID=836648
10,winner,LG디스플레이,034220,2026-04-24,"김선우,우서현",메리츠증권,,0,9210,0,819606,https://www.equity.co.kr/research/researchPop.do?P_ID=819606
10,control,LG디스플레이,034220,2026-04-24,"박현우,김예성",신한투자증권,매수유지,18000,9210,0,819572,https://www.equity.co.kr/research/researchPop.do?P_ID=819572
11,winner,LG이노텍,011070,2026-07-28,양승수,메리츠증권,매수,1200000,514000,0,837130,https://www.equity.co.kr/research/researchPop.do?P_ID=837130
11,control,LG이노텍,011070,2026-07-28,"이종욱,김경빈",삼성증권,매수,800000,514000,0,837226,https://www.equity.co.kr/research/researchPop.do?P_ID=837226
12,winner,LG이노텍,011070,2026-05-18,양승수,메리츠증권,매수,810000,514000,0,822438,https://www.equity.co.kr/research/researchPop.do?P_ID=822438
12,control,LG이노텍,011070,2026-05-18,김연미,다올투자증권,매수유지,950000,514000,0,822464,https://www.equity.co.kr/research/researchPop.do?P_ID=822464
13,winner,POSCO홀딩스,005490,2026-07-31,"박성봉,김승규",하나증권,매수유지,740000,312500,0,837636,https://www.equity.co.kr/research/researchPop.do?P_ID=837636
13,control,POSCO홀딩스,005490,2026-07-31,김진범,상상인증권,매수유지,550000,312500,0,837823,https://www.equity.co.kr/research/researchPop.do?P_ID=837823
14,winner,POSCO홀딩스,005490,2026-07-31,"백재승,최승환",삼성증권,매수,460000,312500,0,837609,https://www.equity.co.kr/research/researchPop.do?P_ID=837609
14,control,POSCO홀딩스,005490,2026-07-31,최문선,한국투자증권,매수,500000,312500,0,837783,https://www.equity.co.kr/research/researchPop.do?P_ID=837783
15,winner,SK하이닉스,000660,2026-07-30,"김선우,우서현",메리츠증권,매수,3100000,1718000,0,837406,https://www.equity.co.kr/research/researchPop.do?P_ID=837406
15,control,SK하이닉스,000660,2026-07-30,"이종욱,김경빈",삼성증권,매수,3000000,1718000,0,837521,https://www.equity.co.kr/research/researchPop.do?P_ID=837521
16,winner,두산,000150,2026-07-28,김수현,DS투자증권,,0,1170000,0,837176,https://www.equity.co.kr/research/researchPop.do?P_ID=837176
16,control,두산,000150,2026-07-28,박희철,교보증권,매수유지,1800000,1170000,0,837208,https://www.equity.co.kr/research/researchPop.do?P_ID=837208
17,winner,두산,000150,2026-07-28,양승수,메리츠증권,매수,2400000,1170000,0,837131,https://www.equity.co.kr/research/researchPop.do?P_ID=837131
17,control,두산,000150,2026-07-28,조현지,DB증권,매수유지,1800000,1170000,0,837196,https://www.equity.co.kr/research/researchPop.do?P_ID=837196
18,winner,롯데쇼핑,023530,2026-05-12,"박상준,권용일",키움증권,매수유지,190000,117300,0,821731,https://www.equity.co.kr/research/researchPop.do?P_ID=821731
18,control,롯데쇼핑,023530,2026-05-12,박종렬,흥국증권,매수유지,180000,117300,0,821839,https://www.equity.co.kr/research/researchPop.do?P_ID=821839
19,winner,롯데쇼핑,023530,2026-05-12,주영훈,NH투자증권,매수유지,190000,117300,0,821718,https://www.equity.co.kr/research/researchPop.do?P_ID=821718
