label,rank,score,company,code,subtitle,date,opinion,analyst,broker,target_price,price_then,pid
good,1,1120,삼성전기,009150,"[1Q26 Review] 2Q 더 좋다~ FC BGA(AI향), 호황 확대!",2026-05-04,매수유지,"박강호,서지원",대신증권,"920,000","1,142,000",820500
good,2,532,SK하이닉스,000660,하반기 모멘텀 둔화,2026-04-27,보유,이민희,BNK투자증권,"1,300,000","1,718,000",819835
good,3,530,삼성전기,009150,가지 않은 길,2026-02-23,매수유지,"박상현,이재성",한국투자증권,"440,000","1,142,000",815814
good,4,515,삼성전기,009150,"반도체의 궤적을 따라갈 MLCC, 슈퍼사이클은 이제 시작",2026-03-17,매수,이창민,KB증권,"460,000","1,142,000",816956
good,5,466,신성이엔지,011930,펀더멘털 회복과 불붙는 신사업,2026-02-27,매수유지,"김학준,이하곤",키움증권,"2,700","14,100",816236
good,6,265,삼성생명,032830,4Q25 Review: 선택의 기로,2026-02-23,매수유지,홍예란,한국투자증권,"235,000","311,500",815909
good,7,265,삼성생명,032830,배당정책의 핵심은 DPS의 단계적 상승,2026-02-23,보유,이병건,DB증권,"235,000","311,500",815893
good,8,256,LG생활건강,051900,단기 실적 눈높이는 낮게,2026-07-13,보유,허제나,DB증권,"250,000","287,000",835903
good,9,239,삼성전기,009150,경쟁사 실적으로 더 공고해진 투자 포인트,2026-02-04,매수유지,"박상현,이재성",한국투자증권,"340,000","1,142,000",814141
good,10,238,대우건설,047040,"비용 안녕(Bye), 원전 안녕(Hello)",2026-02-10,매수유지,"송유림,김예인",한화투자증권,"7,300","12,780",814935
good,11,213,삼성전기,009150,"반도체의 궤적을 따라갈 MLCC, 슈퍼사이클은 이제 시작",2026-02-23,매수유지,"이창민,김연수",KB증권,"460,000","1,142,000",815826
good,12,179,삼성전기,009150,"반도체의 궤적을 따라갈 MLCC, 슈퍼사이클은 이제 시작",2026-04-13,매수,이창민,KB증권,"600,000","1,142,000",818587
good,13,174,삼성전기,009150,"2026년 FC BGA, MLCC 가격이 상승",2026-04-08,매수유지,"박강호,서지원",대신증권,"550,000","1,142,000",818056
good,14,172,신성이엔지,011930,전력 숏티지의 구세주,2026-02-05,매수유지,"고영민,김연미",다올투자증권,"2,800","14,100",814382
good,15,171,LG이노텍,011070,1Q26 Preview: 우리 패키지가 달라졌어요,2026-04-01,매수유지,이주형,유진투자증권,"353,000","514,000",817600
good,16,168,대우건설,047040,4Q25 Review: 당당하게 꺼내든 원전 카드,2026-02-10,매수,신동현,현대차증권,"7,400","12,780",815082
good,17,152,삼성전기,009150,AI 노출도 높여 간다,2026-02-04,매수유지,이민희,BNK투자증권,"360,000","1,142,000",814085
