company,code,date,opinion,title,analyst,broker,target,price_then,pid
대우건설,047040,2026-07-22,매수유지,대우건설(047040) 원전주라면 원전으로 승부를 봐야 한다,"장문준,강민창",KB증권,20000,12780,836606
대우건설,047040,2026-07-20,매수유지,"대우건설(047040) 2Q26 Preview : 실적은 기대 이상, 원전 모멘텀은 숨 고르기",류태환,유진투자증권,24000,12780,836347
대우건설,047040,2026-07-15,매수유지,대우건설(047040) 2Q26 Preview: 예상보다 빠른 주택 마진 개선,조정현,IBK투자증권,31000,12780,836127
대우건설,047040,2026-07-14,매수유지,"대우건설(047040) 실적 컨센서스 상회 전망, AI 인프라 확대 수혜",신대현,키움증권,23000,12780,835973
대우건설,047040,2026-07-14,중립,대우건설(047040) 2개분기 연속 기대 이상의 수익성,김선미,신한투자증권,0,12780,835966
대우건설,047040,2026-07-13,매수,"대우건설(047040) 실적, 모멘텀 반등 기대. 투자의견 '매수' 상향",김기룡,미래에셋증권,24000,12780,835912
대우건설,047040,2026-07-09,매수유지,대우건설(047040) 본질은 변하지 않았다,김세련,LS증권,28000,12780,835584
대우건설,047040,2026-07-02,매수,대우건설(047040) 원전 경쟁 우위 유효하며 실적 개선은 덤,이은상,NH투자증권,36000,12780,825106
대우건설,047040,2026-07-02,매수,"대우건설(047040) 원전과 주택, 두 축의 고베타",박영도,다올투자증권,24000,12780,825090
대우건설,047040,2026-06-26,매수유지,대우건설(047040) 달라진 건 없다,이은상,NH투자증권,36000,12780,824728
대우건설,047040,2026-06-16,매수,대우건설(047040) 원전으로 여는 다음 챕터,이혜진,대신증권,28000,12780,824292
대우건설,047040,2026-05-19,매수유지,"대우건설(047040) 원전, LNG 경쟁력",김세련,LS증권,45000,12780,822724
대우건설,047040,2026-04-29,중립,대우건설(047040) 빅배스 이후 기록한 호실적과 Valuation 부담,김기룡,미래에셋증권,35000,12780,820215
대우건설,047040,2026-04-29,매수유지,대우건설(047040) 미래가치로 대우해주자,김세련,LS증권,45000,12780,820154
대우건설,047040,2026-04-29,,대우건설(047040) 원전 기대감에 더해진 수익성 개선,신대현,키움증권,0,12780,820135
대우건설,047040,2026-04-29,매수유지,대우건설(047040) 입증된 이익 레벨과 원전 입지 굳히기,이은상,NH투자증권,50000,12780,820078
대우건설,047040,2026-04-29,매수유지,대우건설(047040) 건축부문 실적 서프라이즈,김승준,하나증권,49000,12780,820067
대우건설,047040,2026-04-29,,대우건설(047040) 1Q26 Review: 돋보이는 주택 마진 개선,"문경원,이동석",메리츠증권,0,12780,820063
대우건설,047040,2026-04-28,중립,"대우건설(047040) 실적은 단기에, 수주는 긴호흡 하에 증가",김선미,신한투자증권,0,12780,820056
대우건설,047040,2026-04-28,,대우건설(047040) 1Q26 실적 요약,KB증권,KB증권,0,12780,820053
대우건설,047040,2026-04-21,매수유지,대우건설(047040) 원전 수주에 탄탄한 본업까지,이은상,NH투자증권,42000,12780,819239
대우건설,047040,2026-04-20,매수유지,대우건설(047040) 활공 (滑空),조정현,IBK투자증권,36000,12780,819113
대우건설,047040,2026-04-15,매수유지,"대우건설(047040) 원전과 LNG, 다시 쓰는 성장 공식",황성현,유진투자증권,28000,12780,818854
대우건설,047040,2026-04-10,매수유지,대우건설(047040) 생각보다 탄탄한 원전사업 경험과 능력,이선일,BNK투자증권,27000,12780,818445
대우건설,047040,2026-04-08,매수유지,"대우건설(047040) 다져지는 실적, 더해지는 모멘텀",김세련,LS증권,22000,12780,818100
대우건설,047040,2026-04-06,매수유지,대우건설(047040) 팀코리아 원전 수혜 건설사,이상호,교보증권,24000,12780,817897
대우건설,047040,2026-03-31,매수유지,대우건설(047040) 원전주로서 완전한 포지셔닝. 확실한 파이프라인 필요,"장문준,강민창",KB증권,20000,12780,817509
대우건설,047040,2026-03-19,매수유지,대우건설(047040) 다시 그리는 원전 수출 지도,이은상,NH투자증권,19000,12780,817057
대우건설,047040,2026-03-16,매수유지,대우건설(047040) 비상(飛上),조정현,IBK투자증권,14500,12780,816853
대우건설,047040,2026-02-24,매수유지,대우건설(047040) 원전주로서 포지셔닝 진행. 다음 단계는,"장문준,강민창",KB증권,9000,12780,815952
대우건설,047040,2026-02-19,매수,대우건설(047040) 4Q Review; 안정될 실적과 확장된 파이프라인,허재준,삼성증권,9200,12780,815733
대우건설,047040,2026-02-11,매수,"대우건설(047040) 원전, 어디까지 반영해줘야 하나?",문경원,메리츠증권,8200,12780,815200
대우건설,047040,2026-02-10,매수유지,대우건설(047040) 겪어봤던 레퍼토리(repertory),김진범,상상인증권,7500,12780,815136
대우건설,047040,2026-02-10,매수유지,"대우건설(047040) 대규모 적자 시현, 보다 뚜렷해진 투자포인트",김기룡,미래에셋증권,7900,12780,815109
대우건설,047040,2026-02-10,매수,대우건설(047040) 악동 대우의 귀환,"박세라,권혁",신영증권,7500,12780,815100
대우건설,047040,2026-02-10,매수유지,대우건설(047040) 본업 안정 위에 쌓는 원전 탑,이은상,NH투자증권,7800,12780,815067
대우건설,047040,2026-02-10,매수유지,대우건설(047040) 이제 믿을 수 있는 턴어라운드,이선일,BNK투자증권,7000,12780,815060
대우건설,047040,2026-02-10,매수유지,"대우건설(047040) 익숙한 빅배스, 잘 때 생각 많이 날 거야",신대현,키움증권,7700,12780,815054
대우건설,047040,2026-02-10,보유,대우건설(047040) 4Q25 Review: 대규모 손실 반영,박영도,다올투자증권,6600,12780,815035
대우건설,047040,2026-02-10,매수,"대우건설(047040) Big Bath, 이제 원전으로 Big Step",류태환,유진투자증권,6900,12780,815024
대우건설,047040,2026-02-10,매수,"대우건설(047040) 빅배스로 실적 가시성 증대, 투자의견 상향",배세호,iM증권,6700,12780,815022
대우건설,047040,2026-02-10,매수유지,대우건설(047040) 4Q25 Review: 보수적인 비용처리와 원전 기대감,이상호,교보증권,7000,12780,815015
대우건설,047040,2026-02-10,매수유지,대우건설(047040) 원전으로 제시하는 미래,김세련,LS증권,7000,12780,815010
대우건설,047040,2026-02-10,,대우건설(047040) 4Q25 Review: 지금이야 지금. 저평가 해소 트리거 발생,문경원,메리츠증권,0,12780,815000
대우건설,047040,2026-02-10,단기매수,대우건설(047040) 대규모 빅배스 후 상반기 실적이 중요,김선미,신한투자증권,5700,12780,814997
대우건설,047040,2026-02-10,매수유지,대우건설(047040) 2017년의 향기: 빅배스 이후 상승한 주가,김승준,하나증권,8000,12780,814941
대우건설,047040,2026-02-10,매수유지,"대우건설(047040) 비용 안녕(Bye), 원전 안녕(Hello)","송유림,김예인",한화투자증권,7300,12780,814935
대우건설,047040,2026-02-10,매수유지,"대우건설(047040) 사자, 원전(Team Korea)을",조정현,IBK투자증권,8200,12780,814934
대우건설,047040,2026-02-09,매수,대우건설(047040) 의견 상향. 트레이딩 관점의 접근 가능,"장문준,강민창",KB증권,6700,12780,814930
대우건설,047040,2026-02-09,,대우건설(047040) 4Q25 실적 요약,KB증권,KB증권,0,12780,814928
대우건설,047040,2026-02-04,매수유지,"대우건설(047040) 지방 리스크 해소, 원전 시공 가치 재부각",이은상,NH투자증권,6200,12780,814151
