id,company,code,kind,date_report,date_posted,date_source,dart_name,match,gi,sem,week,doc_kind,team,filename,orig_filename,bytes,status,post_url,pdf_url
12634,파트론,091700,Equity Research,2026-06-10,2026-06-10,post,파트론,exact,26,1,4주차,수정보고서,5팀,파트론_091700_Equity Research_2026-06-10.pdf,26_1_4주차_수정보고서_5팀_파트론.pdf,2250206,cached,http://snusmic.com/equity-research-%ed%8c%8c%ed%8a%b8%eb%a1%a0/,http://snusmic.com/wp-content/uploads/2026/06/26_1_4주차_수정보고서_5팀_파트론.pdf
12632,코오롱인더스트리,120110,Equity Research,2026-06-10,2026-06-10,post,코오롱인더,prefix,26,1,4주차,수정보고서,4팀,코오롱인더스트리_120110_Equity Research_2026-06-10.pdf,26_1_4주차_수정보고서_4팀_코오롱인더.pdf,2520784,cached,http://snusmic.com/equity-research-%ec%bd%94%ec%98%a4%eb%a1%b1%ec%9d%b8%eb%8d%94%ec%8a%a4%ed%8a%b8%eb%a6%ac/,http://snusmic.com/wp-content/uploads/2026/06/26_1_4주차_수정보고서_4팀_코오롱인더.pdf
12629,농심홀딩스,072710,Equity Research,2026-06-10,2026-06-10,post,농심홀딩스,exact,26,1,4주차,수정보고서,3팀,농심홀딩스_072710_Equity Research_2026-06-10.pdf,26_1_4주차_수정보고서_3팀_농심홀딩스.pdf,1998996,cached,http://snusmic.com/equity-research-%eb%86%8d%ec%8b%ac%ed%99%80%eb%94%a9%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2026/06/26_1_4주차_수정보고서_3팀_농심홀딩스.pdf
12627,F&F홀딩스,007700,Equity Research,2026-06-10,2026-06-10,post,F&F 홀딩스,exact,26,1,4주차,수정보고서,2팀,F&F홀딩스_007700_Equity Research_2026-06-10.pdf,26_1_4주차_수정보고서_2팀_에프앤에프홀딩스.pdf,1896240,cached,http://snusmic.com/equity-research-%ec%97%90%ed%94%84%ec%97%94%ec%97%90%ed%94%84%ed%99%80%eb%94%a9%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2026/06/26_1_4주차_수정보고서_2팀_에프앤에프홀딩스.pdf
12625,금화피에스시,036190,Equity Research,2026-06-10,2026-06-10,post,금화피에스시,exact,26,1,4주차,수정보고서,1팀,금화피에스시_036190_Equity Research_2026-06-10.pdf,26_1_4주차_수정보고서_1팀_금화피에스시.pdf,2568417,cached,http://snusmic.com/equity-research-%ea%b8%88%ed%99%94%ed%94%bc%ec%97%90%ec%8a%a4%ec%8b%9c/,http://snusmic.com/wp-content/uploads/2026/06/26_1_4주차_수정보고서_1팀_금화피에스시.pdf
12605,Aixtron SE,NA,Equity Research,2026-05-29,2026-05-29,post,,none,26,1,3주차,수정보고서,5팀,Aixtron SE_NA_Equity Research_2026-05-29.pdf,26_1_3주차_수정보고서_5팀_Aixtron_SE.pdf,2734395,cached,http://snusmic.com/equity-research-aixtron-se/,http://snusmic.com/wp-content/uploads/2026/05/26_1_3주차_수정보고서_5팀_Aixtron_SE.pdf
12603,"Comfort Systems USA, Inc.",NA,Equity Research,2026-05-29,2026-05-29,post,,none,26,1,3주차,수정보고서,4팀,"Comfort Systems USA, Inc_NA_Equity Research_2026-05-29.pdf",26_1_3주차_수정보고서_4팀_Comfort_Systems_USA_Inc.pdf,1825515,cached,http://snusmic.com/equity-research-comfort-systems-usa-inc/,http://snusmic.com/wp-content/uploads/2026/05/26_1_3주차_수정보고서_4팀_Comfort_Systems_USA_Inc.pdf
12601,Soitec SA,NA,Equity Research,2026-05-29,2026-05-29,post,,none,26,1,3주차,수정보고서,3팀,Soitec SA_NA_Equity Research_2026-05-29.pdf,26_1_3주차_수정보고서_3팀_Soitec_SA.pdf,2400018,cached,http://snusmic.com/equity-research-soitec-sa/,http://snusmic.com/wp-content/uploads/2026/05/26_1_3주차_수정보고서_3팀_Soitec_SA.pdf
12599,Sterling Infrastructure Inc,NA,Equity Research,2026-05-29,2026-05-29,post,,none,26,1,3주차,수정보고서,2팀,Sterling Infrastructure Inc_NA_Equity Research_2026-05-29.pdf,26_1_3주차_수정보고서_2팀_Sterling_Infrastructure_Inc.pdf,2037660,cached,http://snusmic.com/equity-research-sterling-infrastructure-inc/,http://snusmic.com/wp-content/uploads/2026/05/26_1_3주차_수정보고서_2팀_Sterling_Infrastructure_Inc.pdf
12596,Global Unichip Corp.,NA,Equity Research,2026-05-29,2026-05-29,post,,none,26,1,3주차,수정보고서,1팀,Global Unichip Corp_NA_Equity Research_2026-05-29.pdf,26_1_3주차_수정보고서_1팀_Global_Unichip_Corporation.pdf,2924778,cached,http://snusmic.com/equity-research-global-unichip-corp/,http://snusmic.com/wp-content/uploads/2026/05/26_1_3주차_수정보고서_1팀_Global_Unichip_Corporation.pdf
12584,덕산네오룩스,213420,Equity Research,2026-05-07,2026-05-07,post,덕산네오룩스,exact,26,1,2주차,수정보고서,5팀,덕산네오룩스_213420_Equity Research_2026-05-07.pdf,26_1_2주차_수정보고서_5팀_덕산네오룩스.pdf,2465552,cached,http://snusmic.com/equity-research-%eb%8d%95%ec%82%b0%eb%84%a4%ec%98%a4%eb%a3%a9%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2026/05/26_1_2주차_수정보고서_5팀_덕산네오룩스.pdf
12582,코스텍시스,355150,Equity Research,2026-05-07,2026-05-07,post,코스텍시스,exact,26,1,2주차,수정보고서,4팀,코스텍시스_355150_Equity Research_2026-05-07.pdf,26_1_2주차_수정보고서_4팀_코스텍시스.pdf,2168593,cached,http://snusmic.com/equity-research-%ec%bd%94%ec%8a%a4%ed%85%8d%ec%8b%9c%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2026/05/26_1_2주차_수정보고서_4팀_코스텍시스.pdf
12580,HD현대마린솔루션,443060,Equity Research,2026-05-07,2026-05-07,post,HD현대마린솔루션,exact,26,1,2주차,수정보고서,3팀,HD현대마린솔루션_443060_Equity Research_2026-05-07.pdf,26_1_2주차_수정보고서_3팀_HD현대마린솔루션.pdf,2279915,cached,http://snusmic.com/equity-research-hd%ed%98%84%eb%8c%80%eb%a7%88%eb%a6%b0%ec%86%94%eb%a3%a8%ec%85%98/,http://snusmic.com/wp-content/uploads/2026/05/26_1_2주차_수정보고서_3팀_HD현대마린솔루션.pdf
12577,나노,187790,Equity Research,2026-05-07,2026-05-07,post,나노,exact,26,1,2주차,수정보고서,2팀,나노_187790_Equity Research_2026-05-07.pdf,26_1_2주차_수정보고서_2팀_나노.pdf,2793871,cached,http://snusmic.com/equity-research-%eb%82%98%eb%85%b8/,http://snusmic.com/wp-content/uploads/2026/05/26_1_2주차_수정보고서_2팀_나노.pdf
12573,샘씨엔에스,252990,Equity Research,2026-05-07,2026-05-07,post,샘씨엔에스,exact,26,1,2주차,수정보고서,1팀,샘씨엔에스_252990_Equity Research_2026-05-07.pdf,26_1_2주차_수정보고서_1팀_샘씨엔에스.pdf,2786066,cached,http://snusmic.com/equity-research/,http://snusmic.com/wp-content/uploads/2026/05/26_1_2주차_수정보고서_1팀_샘씨엔에스.pdf
12556,SK오션플랜트,100090,Equity Research,2026-04-16,2026-04-16,post,SK오션플랜트,exact,26,1,1주차,수정보고서,5팀,SK오션플랜트_100090_Equity Research_2026-04-16.pdf,26-1_1주차_수정보고서_5팀_SK오션플랜트.pdf,2668233,cached,http://snusmic.com/equity-research-sk%ec%98%a4%ec%85%98%ed%94%8c%eb%9e%9c%ed%8a%b8/,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_5팀_SK오션플랜트.pdf
12554,세아제강,306200,Equity Research,2026-04-16,2026-04-16,post,세아제강,exact,26,1,1주차,수정보고서,4팀,세아제강_306200_Equity Research_2026-04-16.pdf,26-1_1주차_수정보고서_4팀_세아제강.pdf,2594196,cached,http://snusmic.com/equity-research-%ec%84%b8%ec%95%84%ec%a0%9c%ea%b0%95/,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_4팀_세아제강.pdf
12552,Golar LNG,NA,Equity Research,2026-04-16,2026-04-16,post,,none,26,1,1주차,수정보고서,3팀,Golar LNG_NA_Equity Research_2026-04-16.pdf,26-1_1주차_수정보고서_3팀_Golar_LNG_Limited.pdf,5819782,cached,http://snusmic.com/equity-research-golar-lng/,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_3팀_Golar_LNG_Limited.pdf
12548,Camtek,NA,Equity Research,2026-04-16,2026-04-16,post,,none,26,1,1주차,수정보고서,2팀,Camtek_NA_Equity Research_2026-04-16.pdf,26-1_1주차_수정보고서_2팀_Camtek.pdf,2664924,cached,http://snusmic.com/equity-research-camteck/,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_2팀_Camtek.pdf
12546,비츠로셀,082920,Equity Research,2026-04-16,2026-04-16,post,비츠로셀,exact,26,1,1주차,수정보고서,1팀,비츠로셀_082920_Equity Research_2026-04-16.pdf,26-1_1주차_수정보고서_1팀_비츠로셀.pdf,2479179,cached,http://snusmic.com/equity-research-%eb%b9%84%ec%b8%a0%eb%a1%9c%ec%85%80-3/,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_1팀_비츠로셀.pdf
12465,S-oil,010950,Equity Research,2025-12-15,2025-12-15,post,S-Oil,exact,25,2,4주차,수정보고서,5팀,S-oil_010950_Equity Research_2025-12-15.pdf,25_2_4주차_수정보고서_5팀_S_Oil.pdf,2607462,cached,http://snusmic.com/equity-research-s-oil-4/,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_5팀_S_Oil.pdf
12462,알지노믹스,476830,Equity Research,2025-12-15,2025-12-15,post,알지노믹스,exact,25,2,4주차,수정보고서,4팀,알지노믹스_476830_Equity Research_2025-12-15.pdf,25_2_4주차_수정보고서_4팀_알지노믹스.pdf,2252096,cached,http://snusmic.com/equity-research-%ec%95%8c%ec%a7%80%eb%85%b8%eb%af%b9%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_4팀_알지노믹스.pdf
12459,예스티,122640,Equity Research,2025-12-15,2025-12-15,post,예스티,exact,25,2,4주차,수정보고서,3팀,예스티_122640_Equity Research_2025-12-15.pdf,25_2_4주차_수정보고서_3팀_예스티.pdf,2422771,cached,http://snusmic.com/equity-research-%ec%98%88%ec%8a%a4%ed%8b%b0-2/,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_3팀_예스티.pdf
12456,파마리서치,214450,Equity Research,2025-12-15,2025-12-15,post,파마리서치,exact,25,2,4주차,수정보고서,2팀,파마리서치_214450_Equity Research_2025-12-15.pdf,25_2_4주차_수정보고서_2팀_파마리서치.pdf,2261972,cached,http://snusmic.com/equity-research-%ed%8c%8c%eb%a7%88%eb%a6%ac%ec%84%9c%ec%b9%98-2/,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_2팀_파마리서치.pdf
12453,Lumentum Holdings Inc,NA,Equity Research,2025-12-15,2025-12-15,post,,none,25,2,4주차,수정보고서,1팀,Lumentum Holdings Inc_NA_Equity Research_2025-12-15.pdf,25_2_4주차_수정보고서_1팀_Lumentum_Holdings_Inc.pdf,3201777,cached,http://snusmic.com/equity-research-lumentum-holdings-inc/,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_1팀_Lumentum_Holdings_Inc.pdf
